Global North,Global South,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),G20,Emerging Markets (BRICS + N-11),OPEC,Low Income,Lower middle Income,Upper middle Income,High Income
Albania,Fiji,"Yemen, Rep.",Afghanistan,Antigua and Barbuda,Australia,Bangladesh,Algeria,Afghanistan,Angola,Albania,Antigua and Barbuda
Austria,"Micronesia, Fed. Sts.",Afghanistan,Armenia,"Bahamas, The",Canada,"Egypt, Arab Rep.",Angola,Burkina Faso,Bangladesh,Argentina,Australia
Belarus,Tonga,Burundi,Azerbaijan,Barbados,Saudi Arabia,Indonesia,Equatorial Guinea,Burundi,Bhutan,Armenia,Austria
Belgium,Vanuatu,Angola,Bhutan,Belize,United States,"Iran, Islamic Rep.",Gabon,Central African Republic,Bolivia,Azerbaijan,"Bahamas, The"
Bosnia and Herzegovina,Tuvalu,Benin,Bolivia,Comoros,India,Mexico,"Iran, Islamic Rep.",Chad,Cambodia,Belarus,Bahrain
Bulgaria,Solomon Islands,Mozambique,Botswana,Cuba,Russian Federation,Nigeria,Iraq,"Congo, Dem. Rep.",Cameroon,Belize,Barbados
Croatia,Samoa,Burkina Faso,Burkina Faso,Dominica,South Africa,Pakistan,Kuwait,Eritrea,Comoros,Bosnia and Herzegovina,Belgium
Cyprus,Papua New Guinea,Niger,Burundi,Dominican Republic,Turkey,Philippines,Libya,Ethiopia,"Congo, Rep.",Botswana,Canada
Czech Republic,Palau,Central African Republic,Central African Republic,Fiji,Argentina,Turkey,Nigeria,Gambia,Cote d'Ivoire,Brazil,Chile
Denmark,Kiribati,Chad,Chad,Grenada,Brazil,"Korea, Rep.",Saudi Arabia,Guinea,Djibouti,Bulgaria,Croatia
Estonia,Bangladesh,Lesotho,Ethiopia,Guinea-Bissau,Mexico,Vietnam,United Arab Emirates,Guinea-Bissau,"Egypt, Arab Rep.",China,Malta
Finland,Bhutan,Liberia,Kazakhstan,Guyana,France,Brazil,"Congo, Dem. Rep.",Haiti,El Salvador,Colombia,Cyprus
France,Cambodia,"Congo, Dem. Rep.",Kyrgyz Republic,Haiti,Germany,Russian Federation,"Venezuela, RB",Liberia,Ghana,Costa Rica,Czech Republic
Greece,China,Djibouti,Lao PDR,Jamaica,Italy,India,,Madagascar,Honduras,Cuba,Denmark
Germany,India,Togo,Lesotho,Kiribati,United Kingdom,China,,Malawi,India,Dominica,Estonia
Hungary,Indonesia,Equatorial Guinea,Malawi,Maldives,China,South Africa,,Mali,Kenya,Dominican Republic,Finland
Iceland,Lao PDR,Eritrea,Mali,Mauritius,Indonesia,,,Mozambique,Kiribati,Ecuador,France
Ireland,Malaysia,Ethiopia,Moldova,Palau,Japan,,,Niger,Kyrgyz Republic,Equatorial Guinea,Germany
Italy,Myanmar,Gambia,Mongolia,Papua New Guinea,"Korea, Rep.",,,Rwanda,Lao PDR,Fiji,Greece
Latvia,Mongolia,Madagascar,Nepal,Puerto Rico,,,,Sierra Leone,Lesotho,Gabon,Hungary
Lithuania,Nepal,Malawi,Niger,Samoa,,,,Somalia,Mauritania,Georgia,Iceland
Luxembourg,Pakistan,Mali,Paraguay,Sao Tome and Principe,,,,South Sudan,Moldova,Grenada,Ireland
Malta,Philippines,Rwanda,Rwanda,Seychelles,,,,Syrian Arab Republic,Mongolia,Guatemala,Israel
Montenegro,Sri Lanka,Senegal,South Sudan,Singapore,,,,Tajikistan,Morocco,Guyana,Italy
Netherlands,Thailand,Sierra Leone,Tajikistan,Solomon Islands,,,,Togo,Myanmar,"Iran, Islamic Rep.",Japan
Norway,Timor-Leste,Mauritania,Turkmenistan,Suriname,,,,Uganda,Nicaragua,Iraq,"Korea, Rep."
Poland,Vietnam,Guinea-Bissau,Uganda,Timor-Leste,,,,"Yemen, Rep.",Nigeria,Jamaica,Kuwait
Portugal,Maldives,Guinea,Uzbekistan,Tuvalu,,,,Sudan,Pakistan,Jordan,Latvia
Romania,Grenada,Comoros,Zambia,Vanuatu,,,,,Papua New Guinea,Kazakhstan,Lithuania
Serbia,Dominica,Sao Tome and Principe,Zimbabwe,,,,,,Philippines,Lebanon,Luxembourg
Slovakia,Barbados,Zambia,,,,,,,Sao Tome and Principe,Libya,Netherlands
Slovenia,Antigua and Barbuda,Uganda,,,,,,,Senegal,Malaysia,New Zealand
Spain,Cuba,Tanzania,,,,,,,Solomon Islands,Maldives,Norway
Sweden,"Bahamas, The",South Sudan,,,,,,,Timor-Leste,Mexico,Oman
Switzerland,Puerto Rico,Sudan,,,,,,,Tunisia,Montenegro,Palau
Ukraine,Jamaica,Bhutan,,,,,,,Ukraine,Namibia,Panama
United Kingdom,Algeria,Cambodia,,,,,,,Uzbekistan,Paraguay,Poland
Canada,Angola,Bangladesh,,,,,,,Vanuatu,Peru,Portugal
United States,Benin,Haiti,,,,,,,Vietnam,Russian Federation,Puerto Rico
Azerbaijan,Botswana,Kiribati,,,,,,,Zambia,Samoa,Qatar
Georgia,Burkina Faso,Lao PDR,,,,,,,Zimbabwe,Serbia,Saudi Arabia
Israel,Cameroon,Myanmar,,,,,,,Algeria,South Africa,Seychelles
Russian Federation,Central African Republic,Nepal,,,,,,,Benin,Suriname,Singapore
Turkey,Chad,Vanuatu,,,,,,,Nepal,Thailand,Slovak Republic
Australia,Congo,Tuvalu,,,,,,,Sri Lanka,Tonga,Slovenia
New Zealand,Cote d'Ivoire,Solomon Islands,,,,,,,Tanzania,Turkey,Spain
"Korea, Rep.","Congo, Dem. Rep.",Timor-Leste,,,,,,,,Turkmenistan,Sweden
Japan,Djibouti,,,,,,,,,Tuvalu,Switzerland
Singapore,"Egypt, Arab Rep.",,,,,,,,,"Venezuela, RB",Trinidad and Tobago
,Equatorial Guinea,,,,,,,,,Indonesia,United Arab Emirates
,Eritrea,,,,,,,,,,United Kingdom
,Ethiopia,,,,,,,,,,United States
,Gabon,,,,,,,,,,Uruguay
,"Gambia, The",,,,,,,,,,Mauritius
,Ghana,,,,,,,,,,Romania
,Kenya,,,,,,,,,,
,Lesotho,,,,,,,,,,
,Liberia,,,,,,,,,,
,Libya,,,,,,,,,,
,Madagascar,,,,,,,,,,
,Malawi,,,,,,,,,,
,Mali,,,,,,,,,,
,Morocco,,,,,,,,,,
,Mozambique,,,,,,,,,,
,Namibia,,,,,,,,,,
,Niger,,,,,,,,,,
,Nigeria,,,,,,,,,,
,Rwanda,,,,,,,,,,
,Senegal,,,,,,,,,,
,Sierra Leone,,,,,,,,,,
,Somalia,,,,,,,,,,
,South Africa,,,,,,,,,,
,South Sudan,,,,,,,,,,
,Sudan,,,,,,,,,,
,Syrian Arab Republic,,,,,,,,,,
,Togo,,,,,,,,,,
,Tunisia,,,,,,,,,,
,Uganda,,,,,,,,,,
,Tanzania,,,,,,,,,,
,Zambia,,,,,,,,,,
,Zimbabwe,,,,,,,,,,
,Seychelles,,,,,,,,,,
,Sao Tome and Principe,,,,,,,,,,
,Mauritius,,,,,,,,,,
,Mauritania,,,,,,,,,,
,Guinea-Bissau,,,,,,,,,,
,Guinea,,,,,,,,,,
,Comoros,,,,,,,,,,
,Burundi,,,,,,,,,,
,Belize,,,,,,,,,,
,"Bahamas, The",,,,,,,,,,
,Argentina,,,,,,,,,,
,Bolivia,,,,,,,,,,
,Brazil,,,,,,,,,,
,Chile,,,,,,,,,,
,Colombia,,,,,,,,,,
,Costa Rica,,,,,,,,,,
,Cuba,,,,,,,,,,
,Dominican Republic,,,,,,,,,,
,Ecuador,,,,,,,,,,
,El Salvador,,,,,,,,,,
,Guatemala,,,,,,,,,,
,Haiti,,,,,,,,,,
,Honduras,,,,,,,,,,
,Jamaica,,,,,,,,,,
,Mexico,,,,,,,,,,
,Panama,,,,,,,,,,
,Paraguay,,,,,,,,,,
,Peru,,,,,,,,,,
,Puerto Rico,,,,,,,,,,
,Suriname,,,,,,,,,,
,Trinidad and Tobago,,,,,,,,,,
,Uruguay,,,,,,,,,,
,"Venezuela, RB",,,,,,,,,,
,Nicaragua,,,,,,,,,,
,Guyana,,,,,,,,,,
,Grenada,,,,,,,,,,
,Dominica,,,,,,,,,,
,Barbados,,,,,,,,,,
,Antigua and Barbuda,,,,,,,,,,
,Iraq,,,,,,,,,,
,Afghanistan,,,,,,,,,,
,Armenia,,,,,,,,,,
,Bahrain,,,,,,,,,,
,"Iran, Islamic Rep.",,,,,,,,,,
,Jordan,,,,,,,,,,
,Kazakhstan,,,,,,,,,,
,Kuwait,,,,,,,,,,
,Kyrgyz Republic,,,,,,,,,,
,Lebanon,,,,,,,,,,
,Oman,,,,,,,,,,
,Qatar,,,,,,,,,,
,Saudi Arabia,,,,,,,,,,
,Tajikistan,,,,,,,,,,
,Turkmenistan,,,,,,,,,,
,United Arab Emirates,,,,,,,,,,
,Uzbekistan,,,,,,,,,,
,"Yemen, Rep.",,,,,,,,,,
